HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.10_180_Vertical_Ego.png,Answer.10_90_other-aligned_4_8_2.png,Answer.11_270_Diagonal1_Ego.png,Answer.11_90_other-reversed_6_8_2.png,Answer.12_180_neither-aligned_1_9_3.png,Answer.12_270_Diagonal2_Ego.png,Answer.13_180_neither-aligned_2_8_4.png,Answer.13_90_Diagonal1_Other.png,Answer.14_180_neither-aligned_3_7_9.png,Answer.14_90_Diagonal2_Other.png,Answer.15_180_Diagonal1_Other.png,Answer.15_270_ego-aligned_2_4_6.png,Answer.16_180_Diagonal2_Other.png,Answer.16_270_ego-aligned_2_6_4.png,Answer.17_180_Horizontal_Other.png,Answer.17_270_ego-reversed_4_8_6.png,Answer.18_180_Vertical_Other.png,Answer.18_270_neither-aligned_1_9_3.png,Answer.19_270_Diagonal1_Other.png,Answer.19_270_neither-aligned_3_7_1.png,Answer.1_0_Diagonal1_Both.png,Answer.1_0_both-aligned_2_4_6.png,Answer.20_270_Diagonal2_Other.png,Answer.20_270_neither-aligned_3_7_9.png,Answer.21_270_other-aligned_2_6_8.png,Answer.22_270_other-aligned_6_8_2.png,Answer.23_270_other-reversed_4_8_2.png,Answer.2_0_Diagonal2_Both.png,Answer.2_0_both-aligned_2_6_4.png,Answer.3_0_Horizontal_Both.png,Answer.3_90_ego-aligned_2_4_6.png,Answer.4_0_Vertical_Both.png,Answer.4_90_ego-aligned_2_6_4.png,Answer.5_90_Diagonal1_Ego.png,Answer.5_90_ego-reversed_6_8_4.png,Answer.6_90_Diagonal2_Ego.png,Answer.6_90_neither-aligned_1_9_3.png,Answer.7_180_Diagonal1_Ego.png,Answer.7_90_neither-aligned_1_9_7.png,Answer.8_180_Diagonal2_Ego.png,Answer.8_90_neither-aligned_3_7_1.png,Answer.9_180_Horizontal_Ego.png,Answer.9_90_other-aligned_2_4_8.png,Answer.doNotRedirect,Answer.experiment,Answer.stimFile,Approve,Reject
3QHITW7OYO9C6FNGLHPATFFCFWLAQB,3XIJBB7LZ4OICI2KHBACI428FMIQ83,Object Judgments,You will make a number of judgments (20-24) about some objects in a picture,survey trial picture judgment,$0.60 ,Tue Feb 13 11:15:34 PST 2018,200,BatchId:3113781;OriginalHitTemplateId:920937340;,3600,172800,Tue Feb 20 11:15:34 PST 2018,,,1,Submitted,Tue Feb 13 11:16:30 PST 2018,Tue Feb 13 11:23:51 PST 2018,Thu Feb 15 11:23:51 PST 2018,,,,441,0% (0/0),0% (0/0),0% (0/0),both,,you,,,you,,neither,,neither,both,,neither,,both,,both,,partner,,both,,neither,,,,,neither,,both,,both,,neither,,neither,,neither,,neither,,both,,,1,{},,
3QHITW7OYO9C6FNGLHPATFFCFWLAQB,3XIJBB7LZ4OICI2KHBACI428FMIQ83,Object Judgments,You will make a number of judgments (20-24) about some objects in a picture,survey trial picture judgment,$0.60 ,Tue Feb 13 11:15:34 PST 2018,200,BatchId:3113781;OriginalHitTemplateId:920937340;,3600,172800,Tue Feb 20 11:15:34 PST 2018,,,2,Submitted,Tue Feb 13 11:17:53 PST 2018,Tue Feb 13 11:21:47 PST 2018,Thu Feb 15 11:21:47 PST 2018,,,,234,0% (0/0),0% (0/0),0% (0/0),partner,,you,,,both,,you,,partner,both,,partner,,both,,both,,both,,both,,both,,,,,neither,,both,,both,,partner,,neither,,both,,both,,both,,,1,{},,
3QHITW7OYO9C6FNGLHPATFFCFWLAQB,3XIJBB7LZ4OICI2KHBACI428FMIQ83,Object Judgments,You will make a number of judgments (20-24) about some objects in a picture,survey trial picture judgment,$0.60 ,Tue Feb 13 11:15:34 PST 2018,200,BatchId:3113781;OriginalHitTemplateId:920937340;,3600,172800,Tue Feb 20 11:15:34 PST 2018,,,3,Submitted,Tue Feb 13 11:16:01 PST 2018,Tue Feb 13 11:51:25 PST 2018,Thu Feb 15 11:51:25 PST 2018,,,,2124,0% (0/0),0% (0/0),0% (0/0),,neither,,partner,you,,neither,,you,,,partner,,neither,,partner,,you,,partner,,both,,you,partner,partner,partner,,both,,partner,,,,partner,,you,,neither,,partner,,partner,,2,{},,
3QHITW7OYO9C6FNGLHPATFFCFWLAQB,3XIJBB7LZ4OICI2KHBACI428FMIQ83,Object Judgments,You will make a number of judgments (20-24) about some objects in a picture,survey trial picture judgment,$0.60 ,Tue Feb 13 11:15:34 PST 2018,200,BatchId:3113781;OriginalHitTemplateId:920937340;,3600,172800,Tue Feb 20 11:15:34 PST 2018,,,4,Submitted,Tue Feb 13 11:16:49 PST 2018,Tue Feb 13 11:19:45 PST 2018,Thu Feb 15 11:19:45 PST 2018,,,,176,0% (0/0),0% (0/0),0% (0/0),,neither,,partner,neither,,neither,,you,,,neither,,neither,,you,,neither,,partner,,neither,,you,neither,neither,partner,,neither,,neither,,neither,,both,,partner,,neither,,neither,,neither,,2,{},,
3QHITW7OYO9C6FNGLHPATFFCFWLAQB,3XIJBB7LZ4OICI2KHBACI428FMIQ83,Object Judgments,You will make a number of judgments (20-24) about some objects in a picture,survey trial picture judgment,$0.60 ,Tue Feb 13 11:15:34 PST 2018,200,BatchId:3113781;OriginalHitTemplateId:920937340;,3600,172800,Tue Feb 20 11:15:34 PST 2018,,,5,Submitted,Tue Feb 13 11:17:06 PST 2018,Tue Feb 13 11:24:36 PST 2018,Thu Feb 15 11:24:36 PST 2018,,,,450,0% (0/0),0% (0/0),0% (0/0),,partner,,you,partner,,partner,,partner,,,partner,,partner,,partner,,partner,,partner,,partner,,partner,you,you,you,,partner,,partner,,partner,,partner,,partner,,partner,,partner,,partner,,2,{},,
3QHITW7OYO9C6FNGLHPATFFCFWLAQB,3XIJBB7LZ4OICI2KHBACI428FMIQ83,Object Judgments,You will make a number of judgments (20-24) about some objects in a picture,survey trial picture judgment,$0.60 ,Tue Feb 13 11:15:34 PST 2018,200,BatchId:3113781;OriginalHitTemplateId:920937340;,3600,172800,Tue Feb 20 11:15:34 PST 2018,,,6,Submitted,Tue Feb 13 11:20:08 PST 2018,Tue Feb 13 11:22:41 PST 2018,Thu Feb 15 11:22:41 PST 2018,,,,153,0% (0/0),0% (0/0),0% (0/0),,you,,partner,both,,both,,you,,,partner,,partner,,both,,neither,,partner,,neither,,you,neither,you,partner,,neither,,partner,,partner,,you,,partner,,both,,neither,,you,,2,{},,
3QHITW7OYO9C6FNGLHPATFFCFWLAQB,3XIJBB7LZ4OICI2KHBACI428FMIQ83,Object Judgments,You will make a number of judgments (20-24) about some objects in a picture,survey trial picture judgment,$0.60 ,Tue Feb 13 11:15:34 PST 2018,200,BatchId:3113781;OriginalHitTemplateId:920937340;,3600,172800,Tue Feb 20 11:15:34 PST 2018,,,7,Submitted,Tue Feb 13 11:16:19 PST 2018,Tue Feb 13 11:21:51 PST 2018,Thu Feb 15 11:21:51 PST 2018,,,,332,0% (0/0),0% (0/0),0% (0/0),,you,,you,both,,partner,,you,,,partner,,both,,partner,,both,,partner,,both,,both,both,both,both,,both,,neither,,neither,,both,,both,,both,,both,,neither,,2,{},,
3QHITW7OYO9C6FNGLHPATFFCFWLAQB,3XIJBB7LZ4OICI2KHBACI428FMIQ83,Object Judgments,You will make a number of judgments (20-24) about some objects in a picture,survey trial picture judgment,$0.60 ,Tue Feb 13 11:15:34 PST 2018,200,BatchId:3113781;OriginalHitTemplateId:920937340;,3600,172800,Tue Feb 20 11:15:34 PST 2018,,,8,Submitted,Tue Feb 13 11:15:58 PST 2018,Tue Feb 13 11:18:36 PST 2018,Thu Feb 15 11:18:36 PST 2018,,,,158,0% (0/0),0% (0/0),0% (0/0),,neither,,both,both,,both,,neither,,,partner,,neither,,partner,,both,,neither,,both,,neither,you,you,neither,,both,,partner,,neither,,neither,,partner,,neither,,neither,,both,,2,{},,
3QHITW7OYO9C6FNGLHPATFFCFWLAQB,3XIJBB7LZ4OICI2KHBACI428FMIQ83,Object Judgments,You will make a number of judgments (20-24) about some objects in a picture,survey trial picture judgment,$0.60 ,Tue Feb 13 11:15:34 PST 2018,200,BatchId:3113781;OriginalHitTemplateId:920937340;,3600,172800,Tue Feb 20 11:15:34 PST 2018,,,9,Submitted,Tue Feb 13 11:16:47 PST 2018,Tue Feb 13 11:22:13 PST 2018,Thu Feb 15 11:22:13 PST 2018,,,,326,0% (0/0),0% (0/0),0% (0/0),partner,,neither,,,neither,,neither,,neither,you,,you,,you,,you,,neither,,neither,,neither,,,,,neither,,neither,,neither,,neither,,neither,,partner,,partner,,partner,,,1,{},,
3QHITW7OYO9C6FNGLHPATFFCFWLAQB,3XIJBB7LZ4OICI2KHBACI428FMIQ83,Object Judgments,You will make a number of judgments (20-24) about some objects in a picture,survey trial picture judgment,$0.60 ,Tue Feb 13 11:15:34 PST 2018,200,BatchId:3113781;OriginalHitTemplateId:920937340;,3600,172800,Tue Feb 20 11:15:34 PST 2018,,,10,Submitted,Tue Feb 13 11:32:10 PST 2018,Tue Feb 13 11:39:15 PST 2018,Thu Feb 15 11:39:15 PST 2018,,,,425,100% (1/1),0% (0/0),0% (0/0),both,,partner,,,neither,,you,,you,both,,you,,neither,,both,,neither,,both,,you,,,,,both,,both,,both,,both,,partner,,partner,,both,,neither,,,1,{},,
